ESVs,Subject,species,Subject Taxonomy ID,identity,Coverage,evalue,bitscore,Source,Taxonomy
Otu0576,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0577,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,99.674,95,5.66E-163,562,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0579,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,96.855,98,4.44E-154,532,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0580,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0581,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0582,Textularid_Rik_9397_consensus4_105,Textularid_Rik_9397_consensus4_105,N/A,96.594,100,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0583,Amphistegina_lessonii,Amphistegina_lessonii,N/A,98.452,99,1.22E-164,568,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0584,Textularid_Rik_9397_consensus4_105,Textularid_Rik_9397_consensus4_105,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0585,Amphistegina_lessonii,Amphistegina_lessonii,N/A,95.975,100,7.42E-152,525,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0586,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0587,Textularid_Rik_9397_consensus4_105,Textularid_Rik_9397_consensus4_105,N/A,93.808,100,3.50E-140,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0588,Operculina_ammonoides,Operculina_ammonoides,N/A,97.5,99,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0590,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,96.904,100,7.37E-157,542,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0591,Miliolid_Rik_9400_9405_Israel,Miliolid_Rik_9400_9405_Israel,N/A,80.247,99,1.08E-65,239,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0594,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,97.833,100,2.62E-161,556,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0595,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,Peneroplis_sp2_&_Peneroplis_pertusus_5117_&_Dendritina_ambigua_Spermonde,N/A,97.819,100,9.41E-161,555,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0596,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,96.44,96,7.45E-147,508,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0597,Amphistegina_lobifera,Amphistegina_lobifera,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0598,Planorbulinella_sp._17893,Planorbulinella_sp._17893,N/A,95.975,100,7.42E-152,525,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0599,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,96.894,99,9.54E-156,538,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0600,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,97.833,100,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0602,Lacogromia_cassipara_18990,Lacogromia_cassipara_18990,N/A,84.735,99,3.76E-90,320,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0603,Entzia_macrescens_13533,Entzia_macrescens_13533,N/A,88.235,95,4.76E-104,366,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0604,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,96.594,100,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0605,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,92.236,99,2.75E-131,457,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0606,Vertebralina_Rik_9325_consensus0_1751,Vertebralina_Rik_9325_consensus0_1751,N/A,94.393,100,2.08E-142,494,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0607,Discanomalina_coronata_18034,Discanomalina_coronata_18034,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0608,Amphistegina_lessonii,Amphistegina_lessonii,N/A,100,94,5.66E-163,562,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0609,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,91.331,100,7.69E-127,442,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0610,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,91.64,96,7.72E-122,425,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0611,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,97.17,98,9.54E-156,538,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0612,Peneroplis_sp1_Spermonde,Peneroplis_sp1_Spermonde,N/A,99.054,99,3.36E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0613,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,96.594,100,1.23E-154,534,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0614,Lacogromia_cassipara_18990,Lacogromia_cassipara_18990,N/A,86.728,99,2.87E-101,357,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0615,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,98.452,100,1.21E-164,568,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0616,Amphistegina_radiata_Spermonde,Amphistegina_radiata_Spermonde,N/A,98.726,97,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0617,Planorbulinella_sp._17893,Planorbulinella_sp._17893,N/A,96.562,99,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0619,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,86.23,94,2.24E-92,327,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0620,Textularid_Rik_9399_consensus0_1584,Textularid_Rik_9399_consensus0_1584,N/A,88.854,99,2.83E-111,390,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0621,Amphistegina_papillosa_Rik_9440_consensus0_1051_SaudiArabia,Amphistegina_papillosa_Rik_9440_consensus0_1051_SaudiArabia,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0622,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0624,Textularia_gramen_13633,Textularia_gramen_13633,N/A,95.161,96,2.71E-141,490,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0625,Amphistegina_lessonii,Amphistegina_lessonii,N/A,98.762,99,2.61E-166,573,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0626,Amphistegina_lobifera,Amphistegina_lobifera,N/A,95.046,100,7.48E-147,508,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0627,Textularid_Rik_9399_consensus0_1584,Textularid_Rik_9399_consensus0_1584,N/A,81.231,100,2.98E-71,257,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0628,Heterostegina_depressa_sp1_Spermonde,Heterostegina_depressa_sp1_Spermonde,N/A,98.438,99,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0629,Pyrgo_Rik_9347_consensus0_1557,Pyrgo_Rik_9347_consensus0_1557,N/A,98.131,100,2.02E-162,560,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0630,Pyrgo_Rik_9347_consensus0_1557,Pyrgo_Rik_9347_consensus0_1557,N/A,86.769,100,2.87E-101,357,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0631,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,98.413,98,9.41E-161,555,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0632,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,92.879,100,3.53E-135,470,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0633,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,93.808,100,3.50E-140,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0634,Amphistegina_lessonii,Amphistegina_lessonii,N/A,100,96,9.40E-166,571,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0635,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,99.071,100,1.56E-168,580,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0636,Rosalina_sp._17595,Rosalina_sp._17595,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0637,Textularid_Rik_9399_consensus0_1584,Textularid_Rik_9399_consensus0_1584,N/A,87.227,99,7.87E-102,359,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0638,Glabratella_sp._17918,Glabratella_sp._17918,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0639,Heterostegina_depressa_sp2_Spermonde,Heterostegina_depressa_sp2_Spermonde,N/A,96.285,100,5.72E-153,529,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0640,Textularid_Rik_9399_consensus0_1584,Textularid_Rik_9399_consensus0_1584,N/A,90.939,96,4.65E-119,416,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0641,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.205,99,5.70E-158,545,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0642,Amphistegina_lobifera,Amphistegina_lobifera,N/A,93.808,100,3.50E-140,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0643,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,96.285,100,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0644,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,98.452,100,1.21E-164,568,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0645,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,93.498,100,1.63E-138,481,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0646,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,96.285,100,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0647,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,94.737,100,3.48E-145,503,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0648,Lacogromia_cassipara_18990,Lacogromia_cassipara_18990,N/A,85.494,100,3.73E-95,337,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0650,Operculina_ammonoides,Operculina_ammonoides,N/A,97.833,100,2.63E-161,556,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0651,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0652,Operculina_ammonoides,Operculina_ammonoides,N/A,96.875,99,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0653,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,N/A,80.923,99,1.39E-69,252,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0654,Cribrorotalia_sp._17611,Cribrorotalia_sp._17611,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0655,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0656,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0657,Amphistegina_lessonii_5174,Amphistegina_lessonii_5174,N/A,97.538,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0658,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,96.904,100,7.37E-157,542,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0659,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,95.666,100,3.45E-150,520,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0660,Peneroplis_sp1_Spermonde,Peneroplis_sp1_Spermonde,N/A,95.639,100,4.44E-149,516,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0661,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,97.531,100,1.22E-159,551,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0662,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,86.861,85,1.34E-84,302,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0663,Amphistegina_papillosa_Spermonde_3741,Amphistegina_papillosa_Spermonde_3741,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0664,Milliolid_red_Rik_9370_9371_9372_Israel,Milliolid_red_Rik_9370_9371_9372_Israel,N/A,98.131,100,2.02E-162,560,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0665,Lacogromia_cassipara_18990,Lacogromia_cassipara_18990,N/A,91.641,100,1.65E-128,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0666,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,99.057,98,9.40E-166,571,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0667,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,97.833,100,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0668,Operculina_ammonoides,Operculina_ammonoides,N/A,96.594,100,1.23E-154,534,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0669,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0670,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0671,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0672,Peneroplis_sp1_Spermonde,Peneroplis_sp1_Spermonde,N/A,100,94,7.27E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0673,Pyrgo_Rik_9347_consensus0_1557,Pyrgo_Rik_9347_consensus0_1557,N/A,85.231,100,2.24E-92,327,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0674,Amphistegina_lessonii,Amphistegina_lessonii,N/A,94.427,100,1.62E-143,497,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0676,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,98.137,99,5.66E-163,562,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0677,Heterostegina_depressa_sp1_Spermonde,Heterostegina_depressa_sp1_Spermonde,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0679,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,Amphisorus_&_Amphisorus_SpL_&_Amphisorus_SpS_Spermonde,N/A,98.68,94,9.47E-156,538,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0680,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0681,Amphistegina_lessonii,Amphistegina_lessonii,N/A,95.938,99,3.45E-150,520,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0682,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,98.742,98,4.37E-164,566,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0683,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,96.285,100,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0684,Planorbulinella_sp._17893,Planorbulinella_sp._17893,N/A,98.742,98,4.37E-164,566,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0685,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,N/A,85.276,100,1.74E-93,331,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0686,Borelis_schlumbergeri_3737_Spermonde,Borelis_schlumbergeri_3737_Spermonde,N/A,94.704,100,4.47E-144,499,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0687,Cribrorotalia_sp._17611,Cribrorotalia_sp._17611,N/A,89.13,99,1.31E-114,401,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0688,Amphistegina_lessonii,Amphistegina_lessonii,N/A,99.674,95,5.66E-163,562,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0689,Amphistegina_lobifera,Amphistegina_lobifera,N/A,96.285,100,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0691,Eggerelloides_scaber_12301,Eggerelloides_scaber_12301,N/A,96.594,100,3.43E-155,536,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0692,Amphistegina_lobifera,Amphistegina_lobifera,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0693,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,97.523,100,3.41E-160,553,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0694,Amphistegina_lobifera,Amphistegina_lobifera,N/A,98.438,99,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0695,Stainforthia_sp._17321,Stainforthia_sp._17321,N/A,95.938,99,3.45E-150,520,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0696,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,96.285,100,1.60E-153,531,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0697,Haynesina_germanica_18209,Haynesina_germanica_18209,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0698,Discanomalina_coronata_18034,Discanomalina_coronata_18034,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0699,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.,Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0700,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,94.194,96,9.81E-136,472,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0701,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2,N/A,86.687,100,7.97E-102,359,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0702,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,97.833,100,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0703,Cyrea_szymborska_17247,Cyrea_szymborska_17247,N/A,98.026,94,2.06E-152,527,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0704,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,90.712,100,1.67E-123,431,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0705,Amphistegina_lessonii,Amphistegina_lessonii,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0706,Amphistegina_papillosa_Spermonde_3741,Amphistegina_papillosa_Spermonde_3741,N/A,98.142,100,1.57E-163,564,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0707,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,96.273,99,5.74E-153,529,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0708,Encrusting_Rik_9441_consensus0_977,Encrusting_Rik_9441_consensus0_977,N/A,91.875,99,1.65E-128,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0709,Trifarina_earlandi_&_Uvigerina_bifurcata,Trifarina_earlandi_&_Uvigerina_bifurcata,N/A,97.214,100,1.58E-158,547,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0711,Amphistegina_lessonii_5174,Amphistegina_lessonii_5174,N/A,98.452,100,3.38E-165,569,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0712,Operculina_ammonoides,Operculina_ammonoides,N/A,93.498,100,5.86E-138,479,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0713,Elphidium_Rik_9327_9337_9350_Spermonde,Elphidium_Rik_9327_9337_9350_Spermonde,N/A,97.833,100,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0714,Murrayinella_globosa_18043,Murrayinella_globosa_18043,N/A,97.833,100,7.32E-162,558,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0715,Elphidium_williamsoni_13170,Elphidium_williamsoni_13170,N/A,95.679,100,3.45E-150,520,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0716,Planorbulinella_sp._17893,Planorbulinella_sp._17893,N/A,98.762,100,7.27E-167,575,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
