ESVs,Subject,Subject accession,Subject Taxonomy ID,Identity percentage,Coverage,evalue,bitscore,Source,Taxonomy
ESV_4427,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_sp,N/A,92.664,98,2.97E-104,374,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_sp.
ESV_4428,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_pusilla,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_pusilla,N/A,96.198,100,1.74E-121,431,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_pusilla
ESV_4429,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_sp,N/A,93.536,100,8.21E-110,392,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_sp.
ESV_4430,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Schizostauron/Schizostauron_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Schizostauron/Schizostauron_sp,N/A,90.494,99,6.49E-96,346,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Schizostauron/Schizostauron_sp.
ESV_4431,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Campylodiscus/Campylodiscus_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Campylodiscus/Campylodiscus_sp,N/A,96.565,99,4.84E-122,433,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Campylodiscus/Campylodiscus_sp.
ESV_4432,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_cf._flabelliformis,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_cf._flabelliformis,N/A,95.817,100,8.10E-120,425,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_cf._flabelliformis
ESV_4433,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Bacillaria_paxillifer,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Bacillaria_paxillifer,N/A,95.057,100,1.75E-116,414,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Bacillaria_paxillifer
ESV_4434,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,90.114,100,8.39E-95,342,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_4435,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Coronia/Coronia_samoensis,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Coronia/Coronia_samoensis,N/A,98.859,100,3.69E-133,470,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Coronia/Coronia_samoensis
ESV_4436,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_cf._costata,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_cf._costata,N/A,93.156,100,3.82E-108,387,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_cf._costata
ESV_4437,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Parlibellus/Parlibellus_hamulifer,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Parlibellus/Parlibellus_hamulifer,N/A,97.338,100,1.73E-126,448,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Parlibellus/Parlibellus_hamulifer
ESV_4439,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_linearis,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_linearis,N/A,96.935,99,1.04E-123,438,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_linearis
ESV_4440,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_frustulum,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_frustulum,N/A,94.275,99,1.36E-112,401,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_frustulum
ESV_4441,Eukaryota/Bacillariophyta/Fragilariophyceae/Tabellariales/Tabellariaceae/Tabellaria/Tabellaria_flocculosa,Eukaryota/Bacillariophyta/Fragilariophyceae/Tabellariales/Tabellariaceae/Tabellaria/Tabellaria_flocculosa,N/A,89.354,100,1.82E-91,331,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Tabellariales/Tabellariaceae/Tabellaria/Tabellaria_flocculosa
ESV_4442,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,N/A,98.479,100,1.72E-131,464,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana
ESV_4443,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Cymbellaceae/Cymbella/Cymbella_tumida,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Cymbellaceae/Cymbella/Cymbella_tumida,N/A,93.916,100,1.77E-111,398,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Cymbellaceae/Cymbella/Cymbella_tumida
ESV_4444,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii,N/A,92.803,100,1.78E-106,381,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii
ESV_4445,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Plagiogrammopsis/Plagiogrammopsis_vanheurckii,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Plagiogrammopsis/Plagiogrammopsis_vanheurckii,N/A,95.057,100,1.75E-116,414,Genbank,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Plagiogrammopsis/Plagiogrammopsis_vanheurckii
ESV_4446,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_sp,N/A,92.776,99,6.39E-106,379,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_sp.
ESV_4447,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Berkeleya/Berkeleya_fennica,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Berkeleya/Berkeleya_fennica,N/A,92.776,100,1.78E-106,381,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Berkeleya/Berkeleya_fennica
ESV_4448,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_abbreviata,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_abbreviata,N/A,93.536,100,8.21E-110,392,Genbank,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_abbreviata
ESV_4449,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_recta,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_recta,N/A,92.607,98,3.85E-103,370,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_recta
ESV_4450,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,N/A,98.099,100,7.98E-130,459,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima
ESV_4451,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_nanodissipata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_nanodissipata,N/A,96.198,100,1.74E-121,431,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_nanodissipata
ESV_4452,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_calidilacuna,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_calidilacuna,N/A,96.935,99,1.04E-123,438,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_calidilacuna
ESV_4453,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_complexa,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_complexa,N/A,95.802,99,1.05E-118,422,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_complexa
ESV_4454,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Rhoicosigma/Rhoicosigma_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Rhoicosigma/Rhoicosigma_sp,N/A,97.338,100,1.73E-126,448,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Rhoicosigma/Rhoicosigma_sp.
ESV_4455,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,96.958,100,8.04E-125,442,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.
ESV_4456,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Halamphora_hyalina,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Halamphora_hyalina,N/A,95.833,100,8.10E-120,425,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Halamphora_hyalina
ESV_4457,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,96.198,100,1.74E-121,431,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium
ESV_4459,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_polita,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_polita,N/A,93.156,100,3.82E-108,387,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_polita
ESV_4460,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_semperpalorum,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_semperpalorum,N/A,95.057,100,1.75E-116,414,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_semperpalorum
ESV_4461,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp,N/A,91.255,100,8.33E-100,359,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp.
ESV_4462,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Guinardia/Guinardia_delicatula,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Guinardia/Guinardia_delicatula,N/A,99.24,100,7.93E-135,475,Genbank,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Guinardia/Guinardia_delicatula
ESV_4463,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima,N/A,94.677,100,8.16E-115,409,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_longissima
ESV_4464,Eukaryota/Bacillariophyta/Bacillariophyceae/Lyrellales/Lyrellaceae/Lyrella/Lyrella_hennedyi,Eukaryota/Bacillariophyta/Bacillariophyceae/Lyrellales/Lyrellaceae/Lyrella/Lyrella_hennedyi,N/A,93.87,99,2.28E-110,394,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Lyrellales/Lyrellaceae/Lyrella/Lyrella_hennedyi
ESV_4465,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_dalmatica,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_dalmatica,N/A,83.908,99,1.88E-66,248,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_dalmatica
ESV_4466,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Coronia/Coronia_impressa,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Coronia/Coronia_impressa,N/A,94.636,99,1.05E-113,405,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Coronia/Coronia_impressa
ESV_4467,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_coffeaeformis,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_coffeaeformis,N/A,93.822,98,2.95E-109,390,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_coffeaeformis
ESV_4468,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_salinicola,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_salinicola,N/A,95.076,100,1.75E-116,414,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_salinicola
ESV_4470,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,94.297,100,3.79E-113,403,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium
ESV_4471,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,93.487,99,1.06E-108,388,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta)
ESV_4472,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Tryblionella/Tryblionella_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Tryblionella/Tryblionella_sp,N/A,94.677,100,8.16E-115,409,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Tryblionella/Tryblionella_sp.
ESV_4473,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_sp,N/A,98.859,100,3.69E-133,470,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_sp.
ESV_4474,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_cf._howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_cf._howeana,N/A,96.958,100,8.04E-125,442,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_cf._howeana
ESV_4475,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Parlibellus/Parlibellus_hamulifer,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Parlibellus/Parlibellus_hamulifer,N/A,93.87,99,2.28E-110,394,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Berkeleyaceae/Parlibellus/Parlibellus_hamulifer
ESV_4476,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthaceae/Pauliella/Pauliella_taeniata,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthaceae/Pauliella/Pauliella_taeniata,N/A,95.038,99,6.30E-116,412,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthaceae/Pauliella/Pauliella_taeniata
ESV_4477,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_frequentissimum,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_frequentissimum,N/A,96.198,100,1.74E-121,431,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_frequentissimum
ESV_4478,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,98.099,100,7.98E-130,459,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.
ESV_4479,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_beaufortiana,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_beaufortiana,N/A,92.015,100,3.85E-103,370,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_beaufortiana
ESV_4480,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa,N/A,95.437,100,3.77E-118,420,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa
ESV_4481,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp,N/A,98.479,100,1.72E-131,464,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp.
ESV_4482,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Rhoikoneis/Rhoikoneis_pagoensis,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Rhoikoneis/Rhoikoneis_pagoensis,N/A,97.719,100,3.71E-128,453,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Rhoikoneis/Rhoikoneis_pagoensis
ESV_4483,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_vitrea,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_vitrea,N/A,93.536,100,8.21E-110,392,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_vitrea
ESV_4484,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_cf._mascarenica,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_cf._mascarenica,N/A,94.677,100,8.16E-115,409,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeis_cf._mascarenica
ESV_4485,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp,N/A,94.297,100,3.79E-113,403,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp.
ESV_4486,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Urosolenia/Urosolenia_eriensis,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Urosolenia/Urosolenia_eriensis,N/A,93.561,100,8.21E-110,392,Genbank,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Urosolenia/Urosolenia_eriensis
ESV_4487,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_borealis,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_borealis,N/A,96.198,100,1.74E-121,431,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_borealis
ESV_4488,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,93.87,99,2.28E-110,394,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata
ESV_4489,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,94.297,100,3.79E-113,403,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium
ESV_4490,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,87.833,100,8.51E-85,309,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.
ESV_4491,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Schizostauron/Schizostauron_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Schizostauron/Schizostauron_sp,N/A,95.057,100,1.75E-116,414,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Schizostauron/Schizostauron_sp.
ESV_4492,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_lanceolatum,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_lanceolatum,N/A,91.635,100,1.79E-101,364,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_lanceolatum
ESV_4493,Eukaryota/Bacillariophyta/Bacillariophyceae/Rhopalodiales/Rhopalodiaceae/Epithemia/Epithemia_cf._musculus,Eukaryota/Bacillariophyta/Bacillariophyceae/Rhopalodiales/Rhopalodiaceae/Epithemia/Epithemia_cf._musculus,N/A,93.13,99,1.37E-107,385,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Rhopalodiales/Rhopalodiaceae/Epithemia/Epithemia_cf._musculus
ESV_4494,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,95.817,100,8.10E-120,425,Genbank,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium
